variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,long_only,3,fixed_one,2020-01,-0.00419938013226917,4997343.792
baseline,early,long_only,3,fixed_one,2020-02,-0.0016028246871514495,4989333.926
baseline,early,long_only,3,fixed_one,2020-03,0.0,4989333.926
baseline,early,long_only,3,fixed_one,2020-04,0.0,4989333.926
baseline,early,long_only,3,fixed_one,2020-05,-0.0011640387446778533,4983526.148
baseline,early,long_only,3,fixed_one,2020-06,0.0064366223929361865,5015603.224
baseline,early,long_only,3,fixed_one,2020-07,0.0125161002966927,5078379.017
baseline,early,long_only,3,fixed_one,2020-08,0.005774446905564723,5107703.847
baseline,early,long_only,3,fixed_one,2020-09,-0.003281871953058846,5090941.017
baseline,early,long_only,3,fixed_one,2020-10,-0.0009552687771789969,5086077.8
baseline,early,long_only,3,fixed_one,2020-11,0.0067335564548383076,5120325.192
baseline,early,long_only,3,fixed_one,2020-12,0.008091690946648189,5161757.281
baseline,early,short_only,1,notional_one,2017-07,0.0,5000000.0
baseline,early,short_only,1,notional_one,2017-08,0.0,5000000.0
baseline,early,short_only,1,notional_one,2017-09,0.0,5000000.0
baseline,early,short_only,1,notional_one,2017-10,0.0,5000000.0
baseline,early,short_only,1,notional_one,2017-11,0.0,5000000.0
baseline,early,short_only,1,notional_one,2017-12,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-01,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-02,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-03,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-04,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-05,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-06,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-07,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-08,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-09,0.0,5000000.0
baseline,early,short_only,1,notional_one,2018-10,0.015590380000000126,5077951.9
baseline,early,short_only,1,notional_one,2018-11,-0.014611119100990444,5003757.34
baseline,early,short_only,1,notional_one,2018-12,0.011052958055715933,5059063.66
baseline,early,short_only,1,notional_one,2019-01,-0.012818182248372834,4994215.66
baseline,early,short_only,1,notional_one,2019-02,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-03,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-04,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-05,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-06,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-07,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-08,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-09,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-10,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-11,0.0,4994215.66
baseline,early,short_only,1,notional_one,2019-12,0.0,4994215.66
baseline,early,short_only,1,notional_one,2020-01,0.0,4994215.66
baseline,early,short_only,1,notional_one,2020-02,0.0,4994215.66
baseline,early,short_only,1,notional_one,2020-03,-0.12264554730902433,4381697.347
baseline,early,short_only,1,notional_one,2020-04,-0.09335166183489496,3972658.618
baseline,early,short_only,1,notional_one,2020-05,0.0,3972658.618
baseline,early,short_only,1,notional_one,2020-06,0.0,3972658.618
baseline,early,short_only,1,notional_one,2020-07,0.0,3972658.618
baseline,early,short_only,1,notional_one,2020-08,0.0,3972658.618
baseline,early,short_only,1,notional_one,2020-09,0.0,3972658.618
baseline,early,short_only,1,notional_one,2020-10,0.0,3972658.618
